------------F A C T U R E---------
id : 3
temp :2025-1-21_9-11-59
 
 

nom produit / qte / prix unitaire / prix total
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
--pixel_6 / 1 / 155000 / 155000
total : 15500000
